id,nombre,DPI,Edad,Tipo_de_licencia,telefono,email,estado
669,Courtney Williams,3323623166244,33,C,886-362-7612,gonzalezann@example.net,True
670,Nathan Dunn,442648813455,72,C,(387)550-4771x9765,debrajohnson@example.com,True
671,Patrick Rice,8283453740267,65,B,+1-503-739-0265x4631,rmorris@example.com,True
672,Travis Wong,4708735282092,44,B,(726)834-4930,candicehill@example.com,True
673,John Roberts,6297192255508,64,A,839.389.5729x77055,eileenbrown@example.org,True
674,Christine Johnson,3423664620943,37,B,+1-949-894-3338x784,heather65@example.net,True
675,Alyssa Anderson,5577362343750,70,B,001-809-365-1834x4098,rickyavila@example.org,True
676,Alex Perez,9046415756445,55,B,001-885-495-9981x34542,mariahrodriguez@example.org,False
677,Crystal Peterson,8039486219055,19,C,001-902-703-8109,hensonpatrick@example.org,True
678,Erica Sawyer,79514257847,22,A,+1-540-738-9445,joshuawalker@example.com,False
679,James Perez,3254125842544,30,B,001-996-908-5051x981,nwilliams@example.org,True
680,Ashley Kramer,9295043325997,20,C,721.731.5081,rwhite@example.org,True
681,James Gallagher,9437659166844,39,B,001-921-824-6578x63084,rodriguezjeremy@example.com,True
682,Danielle Williams,8241628846385,25,B,001-282-656-2637x95864,sfletcher@example.org,True
683,Jeff Brooks,8919308639492,41,C,+1-360-978-8705,oward@example.net,True
684,Molly Hernandez,6197540172499,55,A,388.453.1309x43065,ewalker@example.com,True
685,Ryan Harmon,8808025500171,46,A,2312221294,riveraandrew@example.com,True
686,Daniel Pena,301611667928,61,A,587.741.5031,cummingsmichelle@example.org,False
687,Daniel Cline,9157796794713,57,C,884-456-7599,campbellalan@example.com,False
688,Gabriel Glenn,8019790386257,68,C,536.397.4460,allison63@example.org,True
689,Tamara Vincent,7872109463132,54,C,582.688.4925x439,bmartin@example.net,True
690,John Snow,5981895478730,48,B,+1-456-827-6697x2865,xcarson@example.org,True
691,Alexander Fox,8707239707877,59,C,552.640.3625x238,jacobstiffany@example.net,False
692,Stephanie Flowers,1810990636691,23,B,+1-693-442-2330x3847,williamwilson@example.com,True
693,Jeffery Reynolds,3930176088486,51,A,001-489-875-4117x1770,shawsabrina@example.com,True
694,Timothy Johnson,8345734202049,53,C,8287487447,gabrielwright@example.net,True
695,Gregory Fisher,8813340189558,23,B,690.753.5146x635,olivermichelle@example.net,False
696,Mariah Torres,9405997386163,58,A,212.741.5546x73959,millermichael@example.net,True
697,David Cameron,3080172438571,25,B,(825)943-7544x142,esingh@example.net,True
698,Steve Walls,5648810705262,43,B,314.996.8584,sherrygardner@example.org,True
699,James Garcia,3236600791467,76,B,001-747-362-5329,hrodriguez@example.org,True
700,Autumn Daniels,9737305327462,32,B,+1-766-220-4872x705,laura90@example.net,True
